注文ID,地域,配送会社,距離,荷物重量,天気,交通量,発送準備時間,過去遅延回数,注文金額,当日配送件数,ドライバー経験年数,再配達回数,時期,配送先種別,配達希望時間帯,配送状態
ORD-09614,OKINAWA,ヤマト運輸,508,3.7kg,SUNNY,58,4.4h,0,"9,309",139件,3.1年,0, 通常期 ,HOME,夜間,通常
ORD-20973,愛知県,郵便,266km,,雪 ,72,2.6,1,"11,538円",79件,0.2,0回,通常期, 住宅 , 午後 ,通常
ORD-09475,沖縄県,Japan Post,569km, 3.7kg ,SUNNY,32,4.5,3,"4,474円",,4.0年,0回,NORMAL,会社,NIGHT,遅延注意
ORD-21410,沖縄, ヤマト運輸 ,547,0.9kg,RAIN,67, 0.6h ,1,"8,073",89件,16.1,2, 通常期 ,住宅,午前,通常
ORD-28136,東京都, 佐川急便 ,192km,1.1,雨,88,3.1h,1,872円,76件,8.3年,0,通常期,住宅, 午前 ,通常
ORD-28214,宮城県,Sagawa,314km,2.4,晴れ,42,2.4,不明," 3,569円 ",167件,,0回, 繁忙期 , 住宅 ,AFTERNOON,通常
ORD-13655,OKINAWA,Japan Post,402,4.1, 晴れ ,41,3.8,2,"9,432円",91,0.1年, 1回 ,通常期,会社, 午後 ,遅延注意 
ORD-13557,HOKKAIDO, 日本郵便 ,150km,1.5kg,RAIN,,1.3h, 2 ,"12,009円",103,,0回, 通常期 ,会社, 午後 ,　通常
ORD-20413,名古屋, ヤマト運輸 ,207,2.9,RAIN,89,2.4,0,"2,723",107件,6.0,0, 繁忙期 ,住宅, 午後 ,通常
ORD-27713,広島県,日本郵便,463, 4.8kg ,晴れ,4,2.0h,,,149件,2.0,0,PEAK, 住宅 ,午後,通常
ORD-19581,HIROSHIMA, 日本郵便 ,202,2.5,SUNNY,91, 6.2h ,2,"1,558円",127,0.2年,0回,NORMAL, 会社 , 午前 ,通常
ORD-17116,MIYAGI,ヤマト,340, 3.3kg ,SUNNY,32,1.6,0," 1,185円 ",61,2.2年,0, 通常期 ,住宅,MORNING,通常
ORD-29448,大阪,ヤマト,,8.5,SUNNY,76,4.1,3,"2,509",124件,8.5,0,通常期, 住宅 ,午後,遅延注意
ORD-18826,HIROSHIMA,佐川急便,562,3.7kg,SUNNY,0,1.4h,1,"5,539",75件,10.2年,0回, 通常期 ,住宅,午後,通常
ORD-22837,広島,ヤマト運輸, 303km ,,SUNNY,54,3.2h,1,"3,435円", 223件 ,1.7年,0,通常期, 住宅 ,午前,通常
ORD-21111,北海道 ,佐川急便,351km,3.2,SUNNY,,2.5, 0 ,不明,154件,20.7,0,NORMAL,HOME, 午後 ,通常
ORD-13409,北海道,ヤマト,380,,晴れ, 48 ,0.6,0,"3,961円",,5.1,1, 繁忙期 ,HOME, 午後 ,通常 
ORD-10010,大阪,Sagawa,380,1.3,SUNNY,42,1.9h,0,"3,150",82件,2.0, 1回 ,通常期, 会社 ,午前,通常
ORD-00936,北海道 ,Yamato,347, 1.5kg ,SNOW,67,5.3,0,"1,582",69件,18.1年,0,通常期,住宅,NIGHT,遅延注意
ORD-11107,福岡,日本郵便,227km,,雪,65,5.5,0,"2,689円",120,5.6年,0,NORMAL,HOME, 午前 ,遅延注意
ORD-16055,AICHI, 日本郵便 ,316,11.6, 晴れ , 62 ,3.5h,1," 2,716円 ",130件,0.2,2,繁忙期, 会社 ,午後,遅延注意
ORD-02354,愛知県,Sagawa,96,1.6, 晴れ ,15,1.6h,1," 2,077円 ",98件,不明,0,NORMAL,住宅, 午後 ,通常
ORD-08788,HOKKAIDO,郵便,367km,4.2,SUNNY,37, 2.4h ,0,"11,778",38,4.6年,0,NORMAL,住宅, 午前 ,通常
ORD-12970,広島,郵便,574km,1.4,晴れ,62,2.7h,1,"13,586円",59件,5.7年,0, 通常期 ,住宅,午後,通常 
ORD-20291,TOKYO,Yamato,512km,5.5kg,晴れ,19,0.8h,0,"18,527円",84件,0.1年,1,繁忙期,住宅,午後,通常
ORD-14920,MIYAGI,佐川急便,303,1.3, 晴れ ,39,2.4,0,"6,391",132,4.3,0,通常期,HOME, 午前 ,通常
ORD-17972,宮城県, 佐川急便 , 193km ,3.1kg,RAIN,26,1.8h,1,"14,261",68,1.2年,0,通常期,HOME,午前,通常
ORD-01793,FUKUOKA,Japan Post,422km,2.7kg,SUNNY,61,4.0h, 0 ,"2,969円",174, 0.7年 ,0, 通常期 ,住宅,MORNING,通常
ORD-05127,仙台,Japan Post,350km,6.5kg,SUNNY, 60 ,2.2h,不明,"25,801", 71件 ,5.9,1,繁忙期,HOME,MORNING,通常
ORD-14731,MIYAGI,Sagawa,613km,7.2,SUNNY,56, 1.3h ,0,"7,849",80,0.1,0,繁忙期,HOME, 夜間 ,遅延注意
ORD-28092,HOKKAIDO,ヤマト,136km, 1.1kg ,雨天,48,1.5,1,839,16,1.7,1,繁忙期,住宅,午前,遅延注意
ORD-16341,東京,佐川急便,511,12.5,SUNNY, 53 ,1.5h,1,"3,266",64, 2.3年 ,0,PEAK,住宅, 午後 ,通常
ORD-18657,FUKUOKA, ヤマト運輸 ,225km,2.3kg,雪 ,20,2.5h,1,"13,300",144,3.2,0, 繁忙期 , 住宅 ,MORNING,通常
ORD-26513,福岡県,ヤマト,308,1.5,RAIN,70, 2.5h ,0, 500円 ,119件,6.4年, 0回 ,PEAK, 住宅 ,NIGHT,遅延注意
ORD-06870,宮城県,Sagawa,414,6.7kg,晴れ,58,2.7,0,"9,701円",110,6.4,0回,NORMAL,HOME,夜間,通常
ORD-10679,FUKUOKA,Sagawa,275km,3.3kg,SUNNY,8,2.3h,6,"11,973円",90,8.4年,0回,NORMAL,HOME,AFTERNOON,通常
ORD-15075,TOKYO, 日本郵便 ,146km,3.7kg,SUNNY,37,4.4,1,"7,044",144件,4.1,0回,通常期, 住宅 ,NIGHT,通常
ORD-24379,名古屋,ヤマト,444km,4.1kg,雨,48,1.2,0,806,99,4.4,0,NORMAL,住宅,午前,通常
ORD-15136,OSAKA,ヤマト,289km,2.0kg,SUNNY,57,2.2,2,"2,594円",13件,7.2年,0回,通常期, 会社 ,MORNING,通常
ORD-23015,HIROSHIMA,Yamato, 57km ,7.0kg,SUNNY, 39 ,1.0h, 0 ,"1,036円", 96件 , 0.1年 ,0回,通常期,住宅, 午後 ,通常
ORD-06069,OKINAWA, ヤマト運輸 ,381,1.2kg,雪 ,58,5.0h,1,"8,484",114件, 1.6年 ,0回, 通常期 ,住宅, 午前 ,遅延注意
ORD-23786,沖縄県, 日本郵便 ,478km,10.4kg,晴れ,23,1.8h,1,"5,326",83, 0.6年 ,0,NORMAL, 住宅 ,午前,通常
ORD-04792,名古屋,佐川急便,425km,3.3,晴れ,38,3.3,1,"1,106円",109件,3.2年,1回,NORMAL,HOME, 午後 ,通常
ORD-26174,仙台,ヤマト,88km,3.8kg,RAIN,30,1.7h,5,-500円,116,0.6,0回,NORMAL,HOME,午後,遅延注意
ORD-22817,愛知県,郵便,146,4.6,晴れ,5,,0,"2,849",156件, 0.9年 ,1,NORMAL, 住宅 , 午後 ,通常
ORD-09513, 大阪 ,佐川,263,1.6kg, 晴れ ,0,5.0h,2,"4,534円",129件,1.5, 1回 , 通常期 , 住宅 ,午後,通常
ORD-24471,沖縄県, ヤマト運輸 ,479km,1.5kg,SUNNY,3,4.0,2,"6,978円",85,4.5年,1,PEAK,OFFICE, 午後 ,通常
ORD-12266,沖縄県,ヤマト,384km,2.0,RAIN,71,不明,2,"16,636",100,5.7,0,PEAK, 会社 ,AFTERNOON,遅延注意
ORD-05618,東京,日本郵便,5,2.1,SUNNY,90,2.4,1,"5,130円",48件,13.9年,0, 繁忙期 ,HOME, 午後 ,通常
ORD-14848,TOKYO,Yamato,365,2.1kg, 晴れ ,53,2.3h, 1 ,"6,323",159,4.1年,0,PEAK,住宅, 午後 ,通常
ORD-09252,北海道,Yamato,413,2.6kg,SUNNY,不明,1.2h,1,"2,550",84,1.3年,0,PEAK,HOME, 午後 ,通常
ORD-24220,東京, 佐川急便 , 435km ,1.2kg,雨天,18,3.6h,0,"5,855", 116件 ,8.6年,1,通常期,HOME, 午後 ,通常
ORD-19327,福岡,Yamato,568,2.8kg,SUNNY,39,1.8h,0," 3,458円 ",67件,5.5年,0,通常期,住宅,夜間,通常
ORD-05855,広島県,Yamato,235,2.0kg,雨,39,,1,"4,998円",54,8.3,0回,通常期, 住宅 ,NIGHT,通常
ORD-25209,広島,Japan Post,399,3.0,雨天,20,3.9h,1," 4,225円 ",不明,4.4年,5回,PEAK, 会社 , 夜間 ,遅延注意
ORD-00182,広島県,Yamato,387,1.6,SUNNY,68,5.7h,1,"16,647",98件,0.6年,,NORMAL,OFFICE, 午後 ,通常
ORD-14007, 大阪 , ヤマト運輸 ,397,5.9,SUNNY,63,4.6h,0,933,39, 7.1年 , 0回 ,NORMAL,OFFICE,AFTERNOON,通常
ORD-25190,北海道 ,佐川,86km, 3.8kg ,SUNNY,52,1.5, 0 ,"4,973円",129件,0.2,0回,繁忙期,HOME,MORNING,通常
ORD-13500,HIROSHIMA,Sagawa,137, 5.0kg ,晴れ,不明,1.2,0,"7,467円",73,14.4, 0回 ,通常期,住宅,NIGHT,通常
ORD-23217,北海道 , ヤマト運輸 ,646km,2.1,RAIN,81,6.4h,1,"2,645円",83件,9.5,0回,NORMAL, 住宅 ,AFTERNOON,遅延注意
ORD-06442,広島県,Japan Post,422km,1.9,SUNNY,100,4.4h, 0 ,"10,966円", 120件 ,14.2年,0回,NORMAL,会社,午前,通常
ORD-20773,福岡県,日本郵便,315km,2.8kg,雨,, 8.7h ,0,"1,803",88,3.5, 0回 , 通常期 , 住宅 ,午後,通常
ORD-07049, 東京 ,Yamato,476,2.3kg,雨, 71 ,1.2,1,"2,952円", 79件 ,0.3年,0,NORMAL,HOME, 午後 ,遅延注意
ORD-18398,OKINAWA,佐川急便,521km,1.1kg,SUNNY,56,1.7h,1,"1,701",190, 1.5年 ,0回,通常期,住宅,MORNING,遅延注意
ORD-01596, 大阪 ,日本郵便,265,3.4kg,雨天,63,2.2h,1,"13,206円", 121件 ,0.1,0回, 繁忙期 ,住宅,AFTERNOON,通常
ORD-05025,沖縄県,Yamato, 467km ,3.6,RAIN, 66 , 2.2h ,4,"6,213円",54,8.5年,1, 繁忙期 , 住宅 , 夜間 ,遅延危険
ORD-22661,FUKUOKA,郵便, 273km , 5.3kg ,雨天,57, 2.4h ,2,"9,427",93件,1.8,0回,通常期,会社,AFTERNOON,通常
ORD-14888,AICHI, 佐川急便 ,85,1.0,雨天,28,9.5h,0,"5,330",81,1.2年,, 通常期 ,住宅,MORNING,通常
ORD-20244,北海道 , 日本郵便 ,600km,2.0,SUNNY,20,2.5h,0,"10,048円",50件,1.8,0,通常期, 住宅 , 午後 ,通常
ORD-00672,広島,Yamato,540km,9.3kg,雨天,66,1.8h,0," 4,949円 ",181件,0.2,0回,繁忙期,住宅,午後,遅延注意
ORD-07536,名古屋, ヤマト運輸 ,615, 7.6kg ,雨天,47,1.7h, 0 ,"2,443円",51,15.3,0回,通常期,HOME,MORNING,通常
ORD-26638,MIYAGI,ヤマト,461km,3.6kg,晴れ,58, 3.0h ,1,"5,120円",130件,1.2年,0,NORMAL,住宅,夜間,通常
ORD-01441,FUKUOKA, 日本郵便 ,142,1.7,晴れ,61,1.2,0,"7,599円",126,6.4,0回,通常期,住宅, 午前 ,通常
ORD-29181,TOKYO, ヤマト運輸 ,76km,2.6, 晴れ ,42,1.9h,0,"8,803",119,7.3年,0,PEAK,HOME,午後,通常
ORD-10970,OSAKA,佐川,165km,6.2,SUNNY,44,3.8h,1,"3,825円",160件,不明,0回,通常期,HOME,AFTERNOON,通常
ORD-19061,HOKKAIDO,ヤマト,-50km,1.7,雨,49,,0,"3,454",61件,0.9年,0,NORMAL,住宅,午後,通常
ORD-11261,TOKYO,ヤマト運輸,69km,5.9kg,SUNNY, 51 ,7.3h,0,,84,0.7年,0回, 通常期 ,HOME,NIGHT,通常
ORD-20100, 東京 ,日本郵便, 132km , 1.6kg ,RAIN,52,2.6h,2,不明,148件,1.8年,1,繁忙期,住宅,MORNING,通常
ORD-03535,東京,Japan Post,178km,6.5,SUNNY,62,1.4,0,"5,409",92,2.8年,2回,通常期,住宅,MORNING,通常
ORD-11468,FUKUOKA,ヤマト,96km,1.5, 晴れ ,45,1.5h,1,"1,566円",96,26.2,1回,通常期, 会社 ,午前,通常
ORD-19447,名古屋,佐川急便,151,1.3kg,雨天,87,,0,"8,491",92件,4.3年, 0回 ,繁忙期, 住宅 ,NIGHT,遅延注意
ORD-15523,FUKUOKA,日本郵便,274km, 18.2kg ,晴れ,0,2.9h,0,"7,007",157件,,0,通常期, 住宅 , 午後 ,通常
ORD-25240,福岡, 佐川急便 ,280km,2.1, 晴れ ,75,,,"4,469円",158件,0.3年,1回,NORMAL,住宅, 夜間 ,通常
ORD-24659,FUKUOKA, ヤマト運輸 ,146,1.7kg, 晴れ ,27,3.1,0,"13,990円", 84件 ,13.5,0, 通常期 ,HOME,午前,通常
ORD-28930,OKINAWA,Sagawa,450km,1.2kg, 晴れ ,94,1.7,0,"7,351円",52件,-1年,0回,NORMAL,会社, 午後 ,通常
ORD-27909,AICHI, 日本郵便 ,331km,0.8,雨天,4,1.9,0,"14,366円",100,1.0,0,通常期,住宅,夜間,通常
ORD-25086, 大阪 ,ヤマト,343,2.4kg, 晴れ ,17,2.2,0,"1,116円",166,5.0年,0, 通常期 ,HOME,午後,通常
ORD-07740,福岡県, 日本郵便 ,595km,3.1,RAIN,53, 6.0h ,0,"4,669",117,5.7年,0,通常期, 住宅 , 夜間 ,遅延注意
ORD-13066,HIROSHIMA, 日本郵便 ,不明,4.6,晴れ,32, 4.5h ,1,"4,649円",66件, 2.1年 ,0回,繁忙期,HOME, 午前 ,通常
ORD-14328,宮城県,Yamato,, 4.5kg ,雨天,11,4.6, 1 ," 3,565円 ", 140件 ,1.3年,0回,通常期, 会社 ,NIGHT,通常
ORD-19993,北海道,佐川急便,165,3.9,SNOW,45, 2.1h ,不明,"1,674円",88件,5.7,0回,NORMAL,HOME,MORNING,通常
ORD-09633,仙台, 日本郵便 ,237,1.9,RAIN,65,1.1, 1 ,"19,355",95, 0.1年 , 1回 ,PEAK,住宅,午後,　遅延注意
ORD-23967,OSAKA,Yamato,231km,6.1,RAIN,19,1.7h,0,"2,305円",72,3.5, 0回 ,通常期, 住宅 , 午後 ,通常
ORD-08520,MIYAGI,佐川急便,560,7.6kg,晴れ,41,5.1,0,"7,639",131件,3.2年,1,通常期,OFFICE, 午前 ,通常
ORD-16741,沖縄,ヤマト,591km,1.7kg,RAIN,43,2.5h,2,"13,676円",160,1.7年,1回,NORMAL, 住宅 , 夜間 ,遅延危険
ORD-04951,愛知県,Sagawa,272,2.7,RAIN,16,2.4h,4,"5,862円",73,2.4,0, 繁忙期 , 住宅 ,NIGHT,遅延注意
ORD-27226,HIROSHIMA,Yamato,713km,5.3,SUNNY,64, 2.4h ,1,"14,077円", 45件 ,9.8年,0, 通常期 , 住宅 ,AFTERNOON,通常
ORD-20039,AICHI,日本郵便,341,1.5,SUNNY,79, 2.6h ,0,"15,348円",158件,8.4年,0,NORMAL,住宅,AFTERNOON,遅延注意
ORD-22028,東京都,Yamato,381km,7.6,晴れ,33,1.0,1,"3,217円",80,0.4,0,NORMAL,HOME,MORNING,通常
ORD-27573,東京,Sagawa,75km,,晴れ,68,2.1h,0,"4,206円",31件,4.3年,0,通常期,OFFICE, 夜間 ,通常
ORD-10143,福岡県,Japan Post,274km, 6.3kg ,雨,93,1.6h,2," 7,396円 ",88,3.6,0回,NORMAL, 会社 ,午後,通常
ORD-19797,東京, 日本郵便 ,330km,2.0,晴れ,44,1.3,0,"1,722円",93件,1.1,0回,通常期,住宅,午後,通常
ORD-07504,名古屋,日本郵便, 494km ,6.9kg,雨,71,2.6,0,"3,472",62件,5.6年,0回,PEAK,住宅, 午前 ,通常
ORD-27286,福岡,Yamato,326,5.7, 晴れ ,73, 3.3h ,7," 9,693円 ",65件, 1.3年 ,0回, 繁忙期 , 会社 ,午後,遅延危険
ORD-07928,沖縄,郵便,,3.4kg,雨天,不明,4.1,0,"9,176円",83,0.5,0, 通常期 ,住宅,NIGHT,通常
ORD-01749,東京都,ヤマト,488km,1.1kg,雨,26,5.3, 0 ,"5,895",49件,3.8年,0,通常期,住宅,午後,通常
ORD-07500,HOKKAIDO,日本郵便,423km,,SUNNY,34,1.5,0,"10,339円",116件,,0,通常期,住宅,MORNING,通常
ORD-14374,福岡,佐川急便,365km,5.0,雨天, 80 ,,1," 5,181円 ",104件,4.9,0回,繁忙期,OFFICE, 午前 ,遅延注意
ORD-15703,OKINAWA,佐川急便,636km,6.6, 晴れ , 90 ,2.0h,0,"11,742円",86,1.3年,0,PEAK, 住宅 ,MORNING,　遅延注意
ORD-20355,東京,佐川急便, 203km ,3.6kg, 晴れ ,12,-2h,0,613,112件,3.7年, 0回 ,通常期,HOME,AFTERNOON,通常
ORD-08694,OKINAWA, 佐川急便 ,不明, 2.8kg ,RAIN,81,3.0,2,"10,053",175,8.3年,0回,NORMAL,住宅,午前,遅延危険
ORD-05293,広島県,ヤマト運輸, 425km ,1.5,雨天,17,1.2,0,"3,527円",不明, 0.8年 ,0,繁忙期, 住宅 ,AFTERNOON,通常
ORD-24213,HIROSHIMA,佐川,231,4.8,晴れ,100,4.6,0,"8,573円",133,0,0, 繁忙期 ,会社, 午後 ,遅延注意
ORD-05561,HOKKAIDO,郵便,322,0.4kg,雨天,51,7.0,0,"7,192円",65,1.7年,0回,通常期, 会社 ,午前,通常
ORD-13837,福岡県,郵便,369km,1.7kg,SUNNY,32,7.1h,6," 2,740円 ",107,8.7年,1,通常期, 住宅 ,夜間,通常
ORD-28517,沖縄県, 佐川急便 ,不明,7.4, 晴れ ,0, 2.1h ,0,"5,848円",126件,2.8年,0回,通常期,HOME,午前,通常
ORD-18355,FUKUOKA, ヤマト運輸 ,274,2.8,SNOW,21,1.9h,2,"1,937",129,1.2, 0回 ,通常期, 住宅 ,午前,遅延注意
ORD-08350,MIYAGI, ヤマト運輸 ,208,2.9,雪 ,44,1.5h,0,"4,239",61件,4.0,1,通常期,OFFICE,MORNING,通常
ORD-07080,HIROSHIMA,佐川,344,3.8kg,RAIN,72,2.5h,0,"1,264", 85件 ,2.6,2回,繁忙期, 住宅 ,午前,遅延注意
ORD-24683,FUKUOKA,郵便,372km,3.4,雨,48,4.6h,0,"3,386円",102,1.1年,0回, 通常期 ,住宅,午後,通常
ORD-07014,HIROSHIMA,Japan Post,504,1.2kg, 晴れ ,38,4.8,0,"5,309円",75件,6.6年,,通常期, 住宅 ,AFTERNOON,通常
ORD-25011,北海道 , 日本郵便 ,410,1.5,晴れ,35,,6,"8,492円",124,7.1年,1,通常期,HOME, 午前 ,遅延注意
ORD-02487,TOKYO,郵便, 584km ,4.6kg,SNOW, 99 ,2.0h, 0 ,"5,698", 122件 ,19.0年,0回,通常期,住宅, 午前 ,遅延注意
ORD-26031,福岡, ヤマト運輸 ,447km,4.5kg,雨,46,3.9h,1,,109,0.6年,0回, 繁忙期 ,HOME, 午前 ,　遅延注意
ORD-18544,AICHI, 日本郵便 ,117,0.9, 晴れ ,87,2.4h,1,"7,157",110件,5.2年,1,繁忙期,HOME, 午前 ,通常
ORD-24770,宮城県, 佐川急便 ,152,0.7kg,RAIN,73,300h,2,不明,79件,5.3年,0,NORMAL,住宅, 午前 ,通常
ORD-10376,愛知県, 佐川急便 ,207km,5.6kg,晴れ,32,1.2,0,"8,420円",109,1.0年,0,NORMAL,HOME,夜間,通常
ORD-02702,宮城県, 佐川急便 ,403km,1.2kg,雨,93,3.8,2,,120件,3.9,0回, 通常期 ,住宅, 夜間 ,遅延注意
ORD-27074, 東京 ,ヤマト運輸,168,0.9,SUNNY,22, 3.0h ,0,"4,432",156件,1.5,1回, 通常期 ,住宅, 午前 ,通常
ORD-22835,愛知県,郵便,316,5.1,雪 ,50,2.3h,0,"2,457円",122,9.3年,不明, 通常期 ,OFFICE,午前,通常
ORD-10558,FUKUOKA,郵便, 177km ,7.0kg,雨,83,4.5,0,"14,232円",142,3.4年,0回,PEAK,OFFICE, 午後 ,遅延注意
ORD-10661,OSAKA, 日本郵便 ,317,6.3,雨,82,2.7h,0,"2,203円",123件,0.9年,不明,通常期, 住宅 , 午後 ,遅延注意
ORD-24896,愛知県,Yamato,372km,6.5,雪 ,22,1.8h,2,"1,032円",144件,5.2,0回,繁忙期,住宅, 午後 ,遅延注意
ORD-13833,MIYAGI, ヤマト運輸 ,543km,2.5kg,RAIN,,6.7h,2,"4,351", 92件 ,14.1,0回, 通常期 ,OFFICE, 午前 ,通常
ORD-08630,広島,Japan Post,283,2.5kg,SUNNY,43,4.0h,0,"8,914",150件,1.8,0回, 通常期 , 会社 ,午後,通常
ORD-29339,東京,Sagawa,77,3.8,雨天,37,4.5,0,"2,036",108件,1.5年,2,PEAK,住宅,AFTERNOON,遅延注意
ORD-24148,広島県,郵便,276km,8.0kg,SNOW,46,2.3h,1,,100件,4.2年,0回,NORMAL,住宅, 午前 ,通常
ORD-03722,AICHI, 日本郵便 ,322km,7.8kg,SNOW,34,2.7h,1,"2,049",,4.7年, 0回 ,NORMAL, 会社 ,MORNING,通常
ORD-07388,宮城県,Sagawa,628,6.2,RAIN,74,4.2h,0,"3,019円",85, 0.5年 ,0,通常期, 住宅 ,午後,遅延注意
ORD-26783,広島県,Japan Post,416km,2.1kg, 晴れ ,33,3.5,0,"3,786",76件,5.2,,NORMAL,OFFICE, 午後 ,通常
ORD-06786,東京,日本郵便,318,5.4kg, 晴れ ,63,2.6,0,"3,793円",108,1.2年,0, 通常期 ,OFFICE, 夜間 ,通常
ORD-00242,東京, 佐川急便 ,341,10.2,雨,19, 6.5h ,1,"4,024",94,3.2,0,通常期,住宅, 夜間 ,通常
ORD-24284,名古屋,佐川,495km,3.2kg,晴れ,58,3.2h,0,"1,335円",,3.6,0回,NORMAL,会社,AFTERNOON,通常
ORD-23126,福岡,佐川急便,655,12.1,晴れ, 58 , 1.6h ,1,"2,791",133, 4.2年 ,1回,NORMAL,住宅,夜間,遅延注意
ORD-04740,北海道,Yamato, 426km ,2.1kg,SUNNY, 100 ,3.6,0,"5,721",154件, 1.2年 ,0,通常期, 会社 ,夜間,遅延注意
ORD-23108,沖縄県, ヤマト運輸 ,330,1.3,晴れ,51,,0,"4,962",52,0年,0回, 繁忙期 ,HOME,AFTERNOON,通常
ORD-28637,広島, 佐川急便 ,386,2.6kg, 晴れ ,45,1.5h,0," 3,169円 ",133件,, 0回 ,NORMAL,住宅,午前,通常
ORD-29326,HOKKAIDO,佐川,227km,,晴れ,11,6.7,1,"2,469", 171件 , 24.3年 ,0,通常期,HOME,MORNING,通常
ORD-05168,愛知県,佐川急便,397km,6.2,SUNNY,42,2.0,2,"1,758",154,1.2年,0,通常期,住宅,AFTERNOON,通常
ORD-17665,仙台,郵便,393km,2.2kg,SUNNY,32, 1.4h ,0,"7,178",111,2.6,0回,NORMAL,OFFICE,NIGHT,通常
ORD-11595,AICHI,ヤマト,225km,9.1kg,RAIN,96,1.9h,0,"6,615円",121,2.4年,0回,通常期,HOME, 午後 ,通常
ORD-25867,OSAKA,ヤマト, 130km , 5.5kg ,SUNNY,11, 3.5h ,0,"5,483",126,12.2年,0回, 通常期 ,住宅,MORNING,通常
ORD-11598,沖縄県,佐川,771km,0.9kg,RAIN,59,2.0h,0," 29,448円 ",152,9.5年,0,通常期, 住宅 ,NIGHT,遅延注意
ORD-25855,愛知県,Japan Post,495km,1.6kg, 晴れ ,52,3.4, 0 ," 4,667円 ",142件,3.4, 2回 ,繁忙期, 住宅 ,午前,遅延注意
ORD-25325,沖縄,佐川,198km,4.6kg,SUNNY, 64 ,2.5,0,"9,275",130件,21.4,0回,繁忙期,HOME,午前,通常
ORD-06420,AICHI,Japan Post, 295km ,7.6kg,雨天,33,6.8, 0 ,"1,956円",121件,5.4,0,通常期,HOME,MORNING,通常
ORD-10435,HIROSHIMA, ヤマト運輸 ,202,3.2,SUNNY,34,2.4,0,"10,409",91,0.4年,0,PEAK,住宅,午後,通常
ORD-08726,広島県, 佐川急便 ,272,4.6, 晴れ ,31,2.4h,1,"5,103円",83,8.5, 0回 ,通常期,住宅,午後,通常
ORD-18085, 大阪 ,佐川急便,5km,0.8,雨天,42, 2.3h ,0,"3,673",120,1.9,2,NORMAL, 住宅 ,MORNING,通常
ORD-16888,名古屋,Sagawa,234,4.2kg,雨,66,1.8,1,"5,255円",109件,2.5,0,通常期,会社,MORNING,通常
ORD-12788,AICHI,佐川, 344km ,6.0kg,晴れ,84,1.8,,"2,899",71,3.3,1回,PEAK, 住宅 ,MORNING,通常 
ORD-01096,大阪, 佐川急便 ,-50km, 8.7kg ,晴れ,61, 2.6h ,2,"2,929円",81件,0.2年,0,NORMAL,住宅, 夜間 ,通常
ORD-00809,北海道,郵便,351km,0.8,雨天,46,3.7,1,"3,601円",54件,12.3年,0,PEAK,住宅,AFTERNOON,通常
ORD-29420,HOKKAIDO,日本郵便,597km,2.6kg, 晴れ , 81 ,2.9h,1,"2,566",157件,3.8,1, 通常期 ,HOME,夜間,遅延注意
ORD-10161,東京,Yamato,303km,6.6,SUNNY,52,2.2h,0,"4,740円",72件,2.5,0回,NORMAL,会社,MORNING,通常
ORD-28946,OKINAWA,佐川,202km,3.2kg,SNOW,36,8.1,0,"5,719円",84件,1.7,0,通常期, 住宅 ,午後,遅延注意
ORD-04019, 大阪 ,Yamato,534,1.4kg,SUNNY,38,3.8h,0,"2,790円",149, 0年 ,0回,NORMAL,住宅,MORNING,通常
ORD-15592,宮城県,ヤマト,565km,6.6kg,雨,,1.1,0,"10,367",150件,0.5年, 0回 ,通常期,会社, 夜間 ,通常
ORD-13895,沖縄県,佐川,689,7.0,晴れ,17,2.1,0,"3,694円", 90件 ,3.0年, 0回 ,NORMAL,会社,MORNING,遅延注意
ORD-06445,AICHI,ヤマト運輸,461,3.3kg,SUNNY,19,4.8,0,"11,691円",64件,3.9年,0回, 通常期 ,HOME, 午後 ,通常
ORD-06326,OKINAWA, 日本郵便 , 530km ,1.8kg,SUNNY,60,1.7,0,"3,642円",60,1.3年,0, 通常期 , 会社 ,午後,通常
ORD-25882,名古屋,Japan Post,224km,5.5kg,SNOW,59,2.8,0,"11,256円",32件,0.3年,1, 繁忙期 ,住宅, 午前 ,遅延注意
ORD-12823,愛知県, 日本郵便 , 416km ,2.5,雨,80,2.3,1,"48,675円",70,30, 0回 ,NORMAL, 住宅 ,AFTERNOON,通常
ORD-00951,広島県,佐川,344,5.5kg, 晴れ ,62,2.0h,,"6,885", 120件 ,1.0年,0,PEAK,HOME,MORNING,遅延注意
ORD-18611,北海道 ,郵便,225,11.2,SUNNY,59,,2,"12,988",133, 5.0年 ,不明,通常期,HOME, 午後 ,遅延注意
ORD-18019,大阪府, 日本郵便 ,607,,雨,74,-2h,0,"4,852円", 111件 ,0.1年,0,通常期,住宅,AFTERNOON,遅延注意
ORD-03783,大阪,佐川,346,0.8,雨,100,4.2h,1,"10,307",162件,6.0年,0回,PEAK,HOME, 夜間 ,遅延注意
ORD-26051,OSAKA,Sagawa,291km,4.2kg, 晴れ ,71,1.8h,0,"36,202円",52件,1.7,0,繁忙期, 住宅 ,午後,通常
ORD-27892,東京都,ヤマト運輸,208km,2.4, 晴れ ,42,0.9,0,"21,097円",75件,0.7年, 0回 , 通常期 , 住宅 , 午後 ,通常
ORD-21581,FUKUOKA,佐川,162km,3.8kg,RAIN,100,4.6, 0 ,"8,382円",146件,2.0年,不明, 通常期 ,HOME,午後,遅延注意
